Name: name2
Start coordinates: (11, 123, 3)
Velocity: (11, 234, 12)
t - time past
r - real
p - predicted
s - sigma

t: 284	r: 445181 9.4701e+06 485643	p: 441662 9.46913e+06 485643	s: 0.00263476
t: 285	r: 448316 9.53679e+06 489063	p: 443775 9.54487e+06 489063	s: 0.00338789
t: 286	r: 451462 9.60372e+06 492495	p: 444058 9.59995e+06 492495	s: 0.00546844
t: 287	r: 454619 9.67088e+06 495939	p: 463338 9.67364e+06 495939	s: 0.00639334
t: 288	r: 457787 9.73827e+06 499395	p: 453482 9.73068e+06 499395	s: 0.00314571
t: 289	r: 460966 9.80589e+06 502863	p: 453657 9.81959e+06 502863	s: 0.00530555
t: 290	r: 464156 9.87375e+06 506343	p: 470530 9.86557e+06 506343	s: 0.00458581
t: 291	r: 467357 9.94185e+06 509835	p: 459584 9.94573e+06 509835	s: 0.00554568
t: 292	r: 470569 1.00102e+07 513339	p: 462184 1.00051e+07 513339	s: 0.00594213
t: 293	r: 473792 1.00787e+07 516855	p: 483130 1.00861e+07 516855	s: 0.00657412
t: 294	r: 477026 1.01475e+07 520383	p: 468704 1.01377e+07 520383	s: 0.00582381
t: 295	r: 480271 1.02166e+07 523923	p: 482664 1.0214e+07 523923	s: 0.00166325
t: 296	r: 483527 1.02858e+07 527475	p: 488788 1.02818e+07 527475	s: 0.00362941
t: 297	r: 486794 1.03553e+07 531039	p: 495282 1.03525e+07 531039	s: 0.00581277
